ql,https://github.com/tree-sitter/tree-sitter-ql
qmldir,https://github.com/Decodetalkers/tree-sitter-qmldir
qmljs,https://github.com/yuja/tree-sitter-qmljs
r,https://github.com/r-lib/tree-sitter-r
racket,https://github.com/6cdh/tree-sitter-racket
rasi,https://github.com/Fymyte/tree-sitter-rasi
re2c,https://github.com/alemuller/tree-sitter-re2c
regex,https://github.com/tree-sitter/tree-sitter-regex
rego,https://github.com/FallenAngel97/tree-sitter-rego
ron,https://github.com/amaanq/tree-sitter-ron
ruby,https://github.com/tree-sitter/tree-sitter-ruby
rust,https://github.com/tree-sitter/tree-sitter-rust
scheme,https://github.com/6cdh/tree-sitter-scheme
scss,https://github.com/serenadeai/tree-sitter-scss
smali,https://github.com/amaanq/tree-sitter-smali
smithy,https://github.com/indoorvivants/tree-sitter-smithy
solidity,https://github.com/JoranHonig/tree-sitter-solidity
sql,https://github.com/derekstride/tree-sitter-sql,gh-pages,main
sql_bigquery,https://github.com/takegue/tree-sitter-sql-bigquery
sqlite,https://github.com/dhcmrlchtdj/tree-sitter-sqlite
squirrel,https://github.com/amaanq/tree-sitter-squirrel
ssh_client_config,https://github.com/metio/tree-sitter-ssh-client-config
starlark,https://github.com/amaanq/tree-sitter-starlark
supercollider,https://github.com/madskjeldgaard/tree-sitter-supercollider
svelte,https://github.com/Himujjal/tree-sitter-svelte
swift,https://github.com/alex-pinkus/tree-sitter-swift,with-generated-files
systemtap,https://github.com/ok-ryoko/tree-sitter-systemtap
t32,https://gitlab.com/xasc/tree-sitter-t32.git
tablegen,https://github.com/amaanq/tree-sitter-tablegen
thrift,https://github.com/duskmoon314/tree-sitter-thrift
tiger,https://github.com/ambroisie/tree-sitter-tiger
tlaplus,https://github.com/tlaplus-community/tree-sitter-tlaplus
toml,https://github.com/ikatyang/tree-sitter-toml
tsv,https://github.com/amaanq/tree-sitter-csv
tsx,https://github.com/tree-sitter/tree-sitter-typescript
twig,https://github.com/gbprod/tree-sitter-twig
typescript,https://github.com/tree-sitter/tree-sitter-typescript
ungrammar,https://github.com/Philipp-M/tree-sitter-ungrammar
usd,https://github.com/ColinKennedy/tree-sitter-usd
uxntal,https://github.com/amaanq/tree-sitter-uxntal
v,https://github.com/v-analyzer/v-analyzer
vala,https://github.com/vala-lang/tree-sitter-vala
vhs,https://github.com/charmbracelet/tree-sitter-vhs
vim,https://github.com/neovim/tree-sitter-vim
wgsl,https://github.com/szebniok/tree-sitter-wgsl
xml,https://github.com/ObserverOfTime/tree-sitter-xml
yang,https://github.com/Hubro/tree-sitter-yang
yuck,https://github.com/Philipp-M/tree-sitter-yuck
zig,https://github.com/maxxnino/tree-sitter-zig
